27	39	8243
10	838	8230
13	388	8229
43	217	8214
2	168	8204
345	565	8202
12	190	8182
6	137	8174
2	153	8172
13	371	8152
2	541	8137
6	694	8128
6	1787	8123
10	37	8119
8	127	8116
2	135	8101
12	383	8101
163	692	8075
4	208	8074
2	843	8072
9	1437	8071
26	239	8069
4	216	8056
3	100	8044
24	714	8042
2	718	8030
211	486	8024
66	1996	8024
12	509	8013
24	238	7994
2	20	7991
13	1331	7977
12	925	7973
22	235	7949
6	43	7948
3	112	7944
9	68	7938
6	179	7935
19	28	7932
14	1108	7901
77	216	7900
24	487	7900
12	44	7888
2	651	7882
16	5879	7880
143	817	7879
4	51	7870
12	363	7866
8	1131	7861
28	714	7845
10	3782	7833
111	530	7812
19	316	7808
4	18	7807
715	3807	7800
2	76	7798
154	1364	7786
13	77	7779
2	32	7777
8	1242	7775
12	1242	7759
136	530	7755
127	134	7743
61	263	7724
8	24	7720
437	445	7716
14	61	7689
13	302	7688
163	1034	7683
98	3115	7653
40	163	7645
8	975	7637
2	811	7613
17	38	7609
25	1171	7606
4	127	7603
2	230	7588
33	3698	7587
204	414	7583
50	213	7566
12	288	7565
617	878	7559
143	1317	7559
4	134	7543
814	3379	7526
172	483	7525
8	1367	7507
6	127	7505
951	2560	7478
20	146	7471
2	414	7465
19	27	7459
6	145	7450
163	1324	7439
8	1469	7437
4	692	7424
4	113	7417
230	1181	7415
238	487	7411
2	1041	7407
116	191	7407
25	284	7404
10	484	7398
843	2328	7395
2	177	7393
4	244	7387
15	371	7375
8	509	7370
3	146	7365
16	425	7362
4	87	7351
2	407	7350
232	352	7336
17	112	7322
2	138	7321
134	565	7317
8	177	7309
8	843	7303
6	170	7285
25	701	7277
17	117	7260
189	308	7253
27	412	7252
43	919	7251
149	1040	7250
8	216	7244
12	1275	7243
90	1909	7212
20	563	7209
143	661	7198
2	584	7188
90	965	7176
1417	1703	7172
45	417	7167
2	505	7166
3	87	7160
4	811	7147
345	2008	7145
44	1481	7141
17	1437	7128
22	515	7126
8	27	7111
43	263	7107
3	34	7105
61	87	7103
2	1469	7099
51	149	7099
692	793	7095
8	1317	7089
4	1974	7084
24	96	7082
33	1083	7080
553	1103	7068
14	575	7058
22	1103	7014
2	118	7005
664	715	7003
101	528	6995
10	40	6990
6	858	6987
2	1255	6979
12	260	6971
519	840	6960
145	551	6957
179	204	6943
28	1241	6938
6	485	6933
32	232	6930
702	837	6923
3	1435	6917
489	2645	6915
66	1142	6906
110	119	6904
27	487	6900
4	238	6893
26	50	6892
28	515	6890
6	345	6886
477	3960	6881
664	1362	6879
12	2171	6872
12	213	6867
2	287	6862
205	521	6847
8	16	6844
40	146	6840
244	904	6835
205	227	6808
20	596	6808
87	692	6805
127	187	6805
113	1242	6801
8	852	6798
8	1168	6796
147	275	6783
83	347	6781
4	61	6780
8	464	6778
9	960	6778
16	3396	6766
4	655	6763
2	383	6761
6	1131	6758
2	71	6752
28	1103	6752
139	342	6740
3	487	6739
50	76	6738
8	168	6736
143	491	6735
47	113	6725
51	153	6723
18	157	6710
56	71	6702
17	199	6690
20	1273	6689
6	1095	6688
8	383	6684
32	47	6684
40	1269	6682
93	1861	6672
363	448	6665
76	556	6658
17	40	6656
6	216	6641
17	68	6639
20	1941	6635
2	365	6632
4	239	6630
3	37	6629
39	40	6624
8	904	6617
1083	1149	6617
1269	1609	6609
154	182	6601
117	1034	6594
308	562	6593
922	1275	6587
13	16	6584
15	125	6583
6	18	6574
179	541	6567
17	390	6566
4	345	6562
22	61	6547
14	302	6540
12	6827	6530
13	838	6530
12	482	6527
4	316	6523
138	169	6523
28	4316	6516
3	238	6512
8	515	6478
4	412	6477
170	1034	6475
118	133	6471
2	186	6471
749	1040	6462
4	179	6456
86	360	6453
28	487	6452
6	922	6448
13	1569	6444
175	486	6434
77	217	6434
8	661	6430
4	1275	6428
579	1419	6427
187	368	6426
10	238	6426
14	19	6422
702	1298	6414
158	597	6406
66	437	6404
345	1406	6396
477	2540	6394
24	1269	6383
33	1787	6379
149	1847	6372
19	163	6367
19	852	6360
519	980	6354
90	1160	6345
162	2157	6330
252	299	6327
13	34	6301
3	849	6293
6	1142	6290
90	535	6290
2	485	6285
474	714	6282
56	126	6282
2	192	6278
12	2697	6278
19	1324	6267
49	2372	6264
25	37	6246
8	186	6245
49	268	6245
152	923	6243
4	173	6243
9	37	6238
345	839	6190
179	811	6186
2	2328	6179
2	465	6178
27	111	6176
19	66	6152
348	2482	6150
6	875	6150
8	1041	6146
13	1494	6142
28	1269	6141
25	480	6139
363	562	6133
33	68	6129
204	774	6128
41	1111	6125
19	120	6113
77	1324	6101
2	395	6101
600	767	6085
3	61	6082
149	348	6082
33	702	6081
101	262	6062
8	43	6061
14	2977	6058
6	105	6057
6	120	6055
