id	label	description	x	y	weight<Total co-citations>	cluster
136	j bus finan account	JOURNAL OF BUSINESS FINANCE & ACCOUNTING	-0.8137	0.719	95	5
137	j econ surv	JOURNAL OF ECONOMIC SURVEYS	-0.5205	-0.1861	54	1
138	int bus rev	INTERNATIONAL BUSINESS REVIEW	0.7145	0.5213	77	2
139	account org soc	ACCOUNTING ORGANIZATIONS AND SOCIETY	-0.042	0.4485	52	2
140	small bus econ	SMALL BUSINESS ECONOMICS	-0.0262	0.1934	60	1
141	int j ind organ	INTERNATIONAL JOURNAL OF INDUSTRIAL ORGANIZATION	-0.4154	-0.1292	31	1
142	math financ	MATHEMATICAL FINANCE	-0.1937	-0.5989	12	1
143	math oper res	MATHEMATICS OF OPERATIONS RESEARCH	0.3217	-0.7054	28	3
144	j law econ	JOURNAL OF LAW & ECONOMICS	-0.7503	0.5	89	5
145	comput optim appl	COMPUTATIONAL OPTIMIZATION AND APPLICATIONS	0.9471	-0.9476	31	3
146	contemp account res	CONTEMPORARY ACCOUNTING RESEARCH	-1.0573	0.9564	91	5
147	econ dev cult change	ECONOMIC DEVELOPMENT AND CULTURAL CHANGE	-0.6505	-0.1347	46	1
148	econ educ rev	ECONOMICS OF EDUCATION REVIEW	-0.4673	-0.2169	38	1
149	j law econ organ	JOURNAL OF LAW ECONOMICS & ORGANIZATION	-0.5844	-0.155	33	1
150	decision sci	DECISION SCIENCES	1.0035	0.0546	108	3
151	j serv res-us	JOURNAL OF SERVICE RESEARCH	0.8964	0.1235	90	4
152	camb j econ	CAMBRIDGE JOURNAL OF ECONOMICS	-0.3481	0.1242	48	1
153	nav res log	NAVAL RESEARCH LOGISTICS	0.9802	-0.7594	42	3
154	ieee t eng manage	IEEE TRANSACTIONS ON ENGINEERING MANAGEMENT	0.9517	0.0676	65	4
155	prod plan control	PRODUCTION PLANNING & CONTROL	1.1031	-0.3347	52	3
156	econ geogr	ECONOMIC GEOGRAPHY	-0.1216	0.0489	32	1
157	econ inq	ECONOMIC INQUIRY	-0.5605	-0.2061	52	1
158	econ transit	ECONOMICS OF TRANSITION	-0.5253	-0.0977	50	1
159	financ anal j	FINANCIAL ANALYSTS JOURNAL	-0.3733	0.2022	31	5
160	oxford rev econ pol	OXFORD REVIEW OF ECONOMIC POLICY	-0.638	0.229	60	1
161	j prod innovat manag	JOURNAL OF PRODUCT INNOVATION MANAGEMENT	0.7941	0.1079	67	2
162	organ res methods	ORGANIZATIONAL RESEARCH METHODS	0.9757	0.7	28	2
163	calif manage rev	CALIFORNIA MANAGEMENT REVIEW	0.7058	0.2861	65	2
164	int tax public finan	INTERNATIONAL TAX AND PUBLIC FINANCE	-0.4651	-0.3163	26	1
165	qual reliab eng int	QUALITY AND RELIABILITY ENGINEERING INTERNATIONAL	1.1984	-0.6841	22	3
166	transport res e-log	TRANSPORTATION RESEARCH PART E-LOGISTICS AND TRANSPORTATION REVIEW	0.7606	-0.5478	39	3
167	j econ hist	JOURNAL OF ECONOMIC HISTORY	-0.5432	0.2006	58	1
168	j risk uncertainty	JOURNAL OF RISK AND UNCERTAINTY	-0.2077	-0.3494	35	1
169	int j electron comm	INTERNATIONAL JOURNAL OF ELECTRONIC COMMERCE	0.9602	-0.0682	43	4
170	j small bus manage	JOURNAL OF SMALL BUSINESS MANAGEMENT	0.5269	0.4075	60	2
171	labour econ	LABOUR ECONOMICS	-0.686	-0.0388	37	1
172	scand j econ	SCANDINAVIAN JOURNAL OF ECONOMICS	-0.8021	-0.2607	43	1
173	j comp econ	JOURNAL OF COMPARATIVE ECONOMICS	-0.6658	-0.1145	37	1
174	int j res mark	INTERNATIONAL JOURNAL OF RESEARCH IN MARKETING	0.4251	-0.0719	49	4
175	j econ issues	JOURNAL OF ECONOMIC ISSUES	-0.4139	0.1668	50	1
176	econ model	ECONOMIC MODELLING	-0.7425	-0.3645	50	1
177	j ind econ	JOURNAL OF INDUSTRIAL ECONOMICS	-0.2417	-0.1373	34	1
178	long range plann	LONG RANGE PLANNING	0.8498	0.6175	34	2
179	world bank econ rev	WORLD BANK ECONOMIC REVIEW	-0.8046	-0.1391	31	1
180	j retailing	JOURNAL OF RETAILING	0.7942	0.0465	36	4
181	financ manage	FINANCIAL MANAGEMENT	-0.4211	0.7321	67	5
182	resour energy econ	RESOURCE AND ENERGY ECONOMICS	-0.1176	-0.4786	25	1
183	j manage inquiry	JOURNAL OF MANAGEMENT INQUIRY	0.5188	0.8381	37	2
184	j real estate financ	JOURNAL OF REAL ESTATE FINANCE AND ECONOMICS	0.3594	-0.5257	22	3
185	j regul econ	JOURNAL OF REGULATORY ECONOMICS	-0.4569	-0.2576	32	1
186	rev dev econ	REVIEW OF DEVELOPMENT ECONOMICS	-0.6734	-0.1397	37	1
187	group organ manage	GROUP & ORGANIZATION MANAGEMENT	0.9444	0.7568	22	2
188	hum resour manage	HUMAN RESOURCE MANAGEMENT	0.6427	0.6114	32	2
189	supply chain manag	SUPPLY CHAIN MANAGEMENT-AN INTERNATIONAL JOURNAL	0.846	-0.1774	40	3
190	interfaces	INTERFACES	1.1116	-0.7972	24	3
191	oxford econ pap	OXFORD ECONOMIC PAPERS-NEW SERIES	-0.6029	0.0327	47	1
192	int small bus j	INTERNATIONAL SMALL BUSINESS JOURNAL	0.6615	0.5312	43	2
193	j popul econ	JOURNAL OF POPULATION ECONOMICS	-0.7684	-0.0425	26	1
194	j policy model	JOURNAL OF POLICY MODELING	-0.6948	-0.2887	22	1
195	int j serv ind manag	INTERNATIONAL JOURNAL OF SERVICE INDUSTRY MANAGEMENT	0.8636	0.1005	30	4
196	auditing-j pract th	AUDITING-A JOURNAL OF PRACTICE & THEORY	-1.0221	0.9565	39	5
197	total qual manag bus	TOTAL QUALITY MANAGEMENT & BUSINESS EXCELLENCE	0.7027	0.0579	33	4
198	explor econ hist	EXPLORATIONS IN ECONOMIC HISTORY	-0.5294	0.1965	57	1
199	j financ intermed	JOURNAL OF FINANCIAL INTERMEDIATION	-0.8462	0.3758	51	5
200	j world bus	JOURNAL OF WORLD BUSINESS	0.795	0.524	38	2
201	int j technol manage	INTERNATIONAL JOURNAL OF TECHNOLOGY MANAGEMENT	0.6321	0.3013	43	2
202	j econ growth	JOURNAL OF ECONOMIC GROWTH	-0.8756	-0.1674	31	1
203	eur financ manag	EUROPEAN FINANCIAL MANAGEMENT	-0.7703	0.5757	35	5
204	bus ethics q	BUSINESS ETHICS QUARTERLY	0.3496	0.6128	31	2
205	market lett	MARKETING LETTERS	0.3334	-0.1028	43	4
206	stud nonlinear dyn e	STUDIES IN NONLINEAR DYNAMICS AND ECONOMETRICS	-0.8324	-0.3482	21	1
207	nber macroecon ann	NBER MACROECONOMICS ANNUAL	-1.0223	-0.377	51	1
208	or spectrum	OR SPECTRUM	1.0307	-0.7587	27	3
209	r&d manage	R & D MANAGEMENT	0.3873	0.3229	55	2
210	j int marketing	JOURNAL OF INTERNATIONAL MARKETING	0.8652	0.263	55	4
211	econ hist rev	ECONOMIC HISTORY REVIEW	-0.4553	0.2142	38	1
212	exp econ	EXPERIMENTAL ECONOMICS	-0.5396	-0.2858	23	1
213	res technol manage	RESEARCH-TECHNOLOGY MANAGEMENT	0.5417	0.2044	24	2
214	rev ind organ	REVIEW OF INDUSTRIAL ORGANIZATION	-0.3556	-0.1234	25	1
215	j organ change manag	JOURNAL OF ORGANIZATIONAL CHANGE MANAGEMENT	0.6277	0.8748	29	2
216	j agr econ	JOURNAL OF AGRICULTURAL ECONOMICS	-0.2288	-0.1592	18	1
217	j forecasting	JOURNAL OF FORECASTING	-0.5912	-0.3458	28	1
218	scot j polit econ	SCOTTISH JOURNAL OF POLITICAL ECONOMY	-0.5677	0.1369	29	1
219	organ dyn	ORGANIZATIONAL DYNAMICS	0.5844	0.6058	37	2
220	econ policy	ECONOMIC POLICY	-0.619	0.0267	46	1
221	am j econ sociol	AMERICAN JOURNAL OF ECONOMICS AND SOCIOLOGY	-0.4776	0.1525	24	1
222	int market rev	INTERNATIONAL MARKETING REVIEW	0.5184	0.2071	30	4
223	fisc stud	FISCAL STUDIES	-0.4815	0.1466	29	1
224	economet rev	ECONOMETRIC REVIEWS	-0.8201	-0.3436	37	1
225	int j manag rev	INTERNATIONAL JOURNAL OF MANAGEMENT REVIEWS	0.6475	0.4347	32	2
226	bus hist	BUSINESS HISTORY	-0.4753	0.2816	42	1
227	macroecon dyn	MACROECONOMIC DYNAMICS	-0.9373	-0.4279	28	1
228	manch sch	MANCHESTER SCHOOL	-0.6248	0.1061	31	1
229	new tech work employ	NEW TECHNOLOGY WORK AND EMPLOYMENT	0.0086	0.5152	30	2
230	rev world econ	REVIEW OF WORLD ECONOMICS	-0.7711	-0.2598	26	1
231	enterp soc	ENTERPRISE & SOCIETY	-0.4794	0.2506	35	1
232	bus hist rev	BUSINESS HISTORY REVIEW	-0.4779	0.2449	36	1
