id	label	url	x	y	cluster	weight<Links>	weight<Total link strength>	weight<No. co-authored pubs>
grid.268397.1	Yamaguchi University	http://en.wikipedia.org/wiki/Yamaguchi_University	-0.8496	-0.7437	4	1145	3705	8714
grid.268415.c	Yangzhou University	https://en.wikipedia.org/wiki/Yangzhou_University	-0.9845	0.1614	2	632	3300	8040
grid.268441.d	Yokohama City University	http://en.wikipedia.org/wiki/Yokohama_City_University	-0.7556	-0.8146	4	1200	3294	6291
grid.268446.a	Yokohama National University	http://en.wikipedia.org/wiki/Yokohama_National_University	-0.7164	-0.6654	4	698	2816	7478
grid.26999.3d	University of Tokyo	http://en.wikipedia.org/wiki/University_of_Tokyo	-0.6519	-0.6481	4	1918	60259	107835
grid.270240.3	Fred Hutchinson Cancer Research Center	https://en.wikipedia.org/wiki/Fred_Hutchinson_Cancer_Research_Center	0.0238	0.5737	1	1228	8385	10227
grid.271052.3	University of Occupational and Environmental Health Japan	https://en.wikipedia.org/wiki/University_of_Occupational_and_Environmental_Health_Japan	-0.8787	-0.7769	4	948	1769	3599
grid.271300.7	Federal University of Para	https://en.wikipedia.org/wiki/Federal_University_of_Par%C3%A1	0.8593	0.8047	15	801	3168	6866
grid.271762.7	State University of Maringa	http://en.wikipedia.org/wiki/Universidade_Estadual_de_Maring%C3%A1	0.9188	0.775	15	484	3630	7713
grid.272242.3	National Cancer Centre		-0.7696	-0.8645	4	882	4216	6572
grid.272264.7	Hyogo College of Medicine	https://en.wikipedia.org/wiki/Hyogo_College_of_Medicine	-0.7501	-0.8903	4	680	1908	3888
grid.272362.0	"University of Nevada, Las Vegas"	"http://en.wikipedia.org/wiki/University_of_Nevada,_Las_Vegas"	-0.4147	0.302	1	1131	3881	7384
grid.272458.e	Kyoto Prefectural University of Medicine	http://en.wikipedia.org/wiki/Kyoto_Prefectural_University_of_Medicine	-0.6998	-0.8865	4	975	2392	4899
grid.27255.37	Shandong University	http://en.wikipedia.org/wiki/Shandong_University	-0.9062	-0.0197	2	1532	17002	39494
grid.273335.3	"University at Buffalo, State University of New York"	http://en.wikipedia.org/wiki/University_at_Buffalo	-0.2387	0.4372	1	1649	12890	23741
grid.27446.33	Northeast Normal University	http://en.wikipedia.org/wiki/Northeast_Normal_University	-1.0502	-0.2432	2	626	3187	7627
grid.27476.30	Nagoya University	http://en.wikipedia.org/wiki/Nagoya_University	-0.7063	-0.7385	4	1709	22615	43187
grid.274841.c	Kumamoto University	http://en.wikipedia.org/wiki/Kumamoto_University	-0.8345	-0.7148	4	1234	5871	12797
grid.275033.0	Graduate University For Advanced Studies	http://en.wikipedia.org/wiki/Graduate_University_for_Advanced_Studies	-0.5504	-0.6207	4	1076	4489	5553
grid.27530.33	Aalborg Hospital	https://en.wikipedia.org/wiki/Aalborg_University_Hospital	0.4986	-0.5083	12	824	2663	3390
grid.275559.9	Jena University Hospital		0.6824	-0.054	3	1166	2988	5069
grid.277151.7	Centre Hospitalier Universitaire de Nantes		1.1695	-0.2865	8	977	4625	7337
grid.27736.37	Tomsk Polytechnic University	http://en.wikipedia.org/wiki/Tomsk_Polytechnic_University	0.1677	-0.7946	6	551	2941	8113
grid.27755.32	University of Virginia	http://en.wikipedia.org/wiki/University_of_Virginia	-0.2815	0.639	1	1773	18811	34669
grid.278247.c	Taipei Veterans General Hospital	https://en.wikipedia.org/wiki/Taipei_Veterans_General_Hospital	-0.8515	1.0895	17	833	6563	7598
grid.278276.e	Kōchi University	http://en.wikipedia.org/wiki/K%C5%8Dchi_University	-0.8501	-0.5806	4	570	2013	3285
grid.27860.3b	"University of California, Davis"	"http://en.wikipedia.org/wiki/University_of_California,_Davis"	-0.0908	0.3458	1	1908	33992	59604
grid.27871.3b	Nanjing Agricultural University	http://en.wikipedia.org/wiki/Nanjing_Agricultural_University	-1.0037	0.1347	2	725	4493	11622
grid.279863.1	Louisiana State University Health Sciences Center New Orleans	https://en.wikipedia.org/wiki/LSU_Health_Sciences_Center_New_Orleans	-0.3097	0.7229	1	1155	2300	5042
grid.279885.9	National Heart Lung and Blood Institute	"https://en.wikipedia.org/wiki/National_Heart,_Lung,_and_Blood_Institute"	0.17	0.8833	1	1222	3687	5141
grid.280062.e	Kaiser Permanente	https://en.wikipedia.org/wiki/Kaiser_Permanente	0.0232	0.7601	1	929	4677	6813
grid.28020.38	University of Almería	http://en.wikipedia.org/wiki/University_of_Almer%C3%ADa	0.8246	0.3194	7	544	2152	4123
grid.280418.7	Southern Illinois University School of Medicine	http://en.wikipedia.org/wiki/Southern_Illinois_University_School_of_Medicine	-0.2039	0.7096	1	743	1590	3104
grid.28046.38	University of Ottawa	http://en.wikipedia.org/wiki/University_of_Ottawa	-0.0919	-0.1009	14	1749	16992	31191
grid.28056.39	East China University of Science and Technology	http://en.wikipedia.org/wiki/East_China_University_of_Science_and_Technology	-0.8153	-0.2529	2	905	7458	17251
grid.280664.e	National Institute of Environmental Health Sciences	http://en.wikipedia.org/wiki/National_Institute_of_Environmental_Health_Sciences	-0.2742	0.8017	1	1138	2460	3844
grid.280747.e	VA Palo Alto Health Care System	https://en.wikipedia.org/wiki/VA_Palo_Alto_Health_Care_System	0.1435	0.418	1	779	2802	3367
grid.28171.3d	N. I. Lobachevsky State University of Nizhny Novgorod	http://en.wikipedia.org/wiki/N._I._Lobachevsky_State_University_of_Nizhny_Novgorod	0.1847	-0.6795	6	367	1188	3032
grid.28312.3a	National Institute of Information and Communications Technology	https://en.wikipedia.org/wiki/National_Institute_of_Information_and_Communications_Technology	-0.5559	-0.7096	4	624	3049	4802
grid.284723.8	Southern Medical University	https://en.wikipedia.org/wiki/Southern_Medical_University	-0.636	0.1046	2	1001	3250	8257
grid.28479.30	King Juan Carlos University	http://en.wikipedia.org/wiki/King_Juan_Carlos_University	0.9064	0.3607	7	837	3376	6277
grid.28577.3f	"City, University of London"	http://en.wikipedia.org/wiki/City_University_London	0.2396	-0.2894	5	1037	3465	6548
grid.2865.9	United States Geological Survey	https://en.wikipedia.org/wiki/United_States_Geological_Survey	-0.3072	0.2632	1	1019	7638	11537
grid.28665.3f	Academia Sinica	https://en.wikipedia.org/wiki/Academia_Sinica	-0.7534	0.9161	17	1475	10226	12734
grid.28703.3e	Beijing University of Technology	http://en.wikipedia.org/wiki/Beijing_University_of_Technology	-0.8506	-0.1522	2	762	4661	12675
grid.28803.31	University of Wisconsin System	http://en.wikipedia.org/wiki/University_of_Wisconsin_System	-0.1155	0.4036	1	1417	5543	8065
grid.289247.2	Kyung Hee University	http://en.wikipedia.org/wiki/Kyung_Hee_University	-0.9398	0.5526	11	1497	11132	21828
grid.29172.3f	University of Lorraine	http://en.wikipedia.org/wiki/University_of_Lorraine	0.9407	-0.2791	8	1600	7260	13390
grid.29328.32	Maria Curie-Skłodowska University	http://en.wikipedia.org/wiki/Maria_Curie-Sk%C5%82odowska_University	0.5622	-0.3212	6	458	1369	4278
