id	label	x	y	cluster	weight<No. of pubs>	weight<No. of cits>
306	Molecular Biology of the Cell	0.0583	0.8241	6	9039	170342
307	Zeitschrift für Chemie	1.285	0.3226	4	9022	6582
308	Planta	0.5985	0.4087	3	9003	88668
309	MRS Bulletin	1.3916	0.0462	4	8980	31856
310	Pediatric Radiology	-0.3851	0.5209	2	8974	20263
311	Acta Anaesthesiologica Scandinavica	-0.3875	0.4462	2	8931	25552
312	Pharmaceutical Research	0.1109	0.5927	4	8927	73965
313	Alimentary Pharmacology & Therapeutics	-0.3646	0.6392	2	8917	75374
314	International Astronomical Union Colloquium	1.2622	-0.5343	7	8914	42
315	Fieser and Fieser's Reagents for Organic Synthesis	1.3961	0.3751	4	8910	1
316	Nature Genetics	-0.1665	0.6583	2	8905	415133
317	Acta Psychiatrica Scandinavica	-0.6413	-0.2593	1	8902	69511
318	Clinical Genetics	-0.3104	0.5366	2	8892	31378
319	Journal of Investigative Medicine	-0.315	0.4893	2	8886	3199
320	The European Physical Journal C	1.5906	-0.7031	7	8880	80134
321	Acta Neurochirurgica	-0.407	0.495	2	8826	22741
322	Archives of Virology	0.2198	0.5322	3	8821	34144
323	British Journal of Sports Medicine	-0.4661	0.2365	2	8800	45444
324	The Indian Journal of Pediatrics	-0.3776	0.4234	2	8796	9029
325	Communications of the ACM	-0.4784	-0.6926	1	8794	48338
326	Bulletin of the Korean Chemical Society	1.2566	0.2959	4	8773	14797
327	ACM SIGPLAN Notices	0.4617	-0.5562	5	8770	4082
328	Electroanalysis	1.0263	0.3059	4	8765	36104
329	Chemistry of Natural Compounds	0.5697	0.4714	3	8760	6847
330	Pediatric Nephrology	-0.3359	0.5315	2	8733	31699
331	Journal of General Internal Medicine	-0.5851	-0.1798	1	8727	64570
332	Catheterization and Cardiovascular Interventions	-0.3624	0.4954	2	8707	21621
333	Symposium - International Astronomical Union	1.2636	-0.5354	7	8701	76
334	Journal of Bone and Mineral Research	-0.3256	0.5172	2	8691	108996
335	SID Symposium Digest of Technical Papers	1.4595	0.0669	4	8686	7784
336	Nachrichten aus der Chemie	1.3367	0.3853	4	8660	889
338	Political Science and Politics	-0.5486	-0.592	1	8637	7627
339	Crystal Research and Technology	1.3641	0.1043	4	8628	9912
340	Breast Cancer Research and Treatment	-0.2772	0.6666	2	8605	67839
342	Eye	-0.4363	0.6356	2	8588	28852
343	Acta Radiologica	-0.3857	0.5258	2	8554	10518
344	Nachrichten aus Chemie Technik und Laboratorium	1.2681	0.3199	4	8535	2054
345	Molecular Ecology	0.5407	0.3101	3	8535	173887
346	Postgraduate Medicine	-0.3529	0.4478	2	8520	8906
347	The American Journal of Sports Medicine	-0.4354	0.4982	2	8487	99885
348	Child Development	-0.6933	-0.4227	1	8481	174095
349	Analytical Letters	0.8868	0.3322	4	8475	18944
350	Biopolymers	0.5877	0.6754	4	8473	47808
351	Atmospheric Chemistry and Physics	0.6807	-0.0585	3	8469	63713
352	Leukemia	-0.2843	0.6892	2	8468	85827
353	Communications in Mathematical Physics	0.6838	-0.61	5	8462	82850
354	Bone Marrow Transplantation	-0.3022	0.6447	2	8448	49498
355	Surface and Interface Analysis	1.2556	0.0752	4	8445	23328
356	Medical Education	-0.608	-0.1941	1	8442	47226
357	American Journal of Physical Anthropology	0.413	0.127	3	8422	52622
358	Journal of Obstetrics and Gynaecology	-0.3711	0.4322	2	8412	10452
359	Clinical & Experimental Allergy	-0.2567	0.5419	2	8404	57064
360	Prenatal Diagnosis	-0.3648	0.4689	2	8395	30431
361	Zeitschrift für Naturforschung B	1.2962	0.3221	4	8393	8842
362	The Journal of Pathology	-0.2502	0.6787	2	8358	72012
363	The Plant Journal	0.5963	0.4319	3	8350	168762
364	Clinical & Experimental Immunology	-0.2323	0.6782	2	8339	55832
365	Proteins Structure Function and Bioinformatics	0.5641	0.7209	6	8326	78825
366	Macromolecular Symposia	1.2083	0.1318	4	8301	19657
367	BMC Bioinformatics	0.36	0.6109	6	8269	76700
368	Philosophical Transactions of The Royal Society B Biological Sciences	0.3877	0.2263	3	8255	143734
370	Clinical and Experimental Dermatology	-0.2789	0.6019	2	8212	22052
371	International Journal of Theoretical Physics	1.4048	-0.6266	7	8190	20818
372	Applied Biochemistry and Biotechnology	0.5853	0.4875	3	8190	30502
373	Journal of Applied Probability	0.23	-0.5842	5	8182	16095
374	Materials and Corrosion	1.2583	-0.0259	4	8173	6357
375	Journal of Magnetic Resonance Imaging	-0.381	0.5274	2	8150	56067
377	Journal of Thrombosis and Haemostasis	-0.3151	0.5844	2	8104	53694
378	The European Physical Journal B	1.3185	-0.4083	5	8102	46003
379	Journal of Medical Genetics	-0.3074	0.5452	2	8100	56865
380	Cancer Chemotherapy and Pharmacology	-0.23	0.6575	2	8085	35152
381	Zeitschrift für Physikalische Chemie	1.2948	0.1991	4	8076	10131
382	Journal of Dental Research	-0.5201	0.5563	8	8069	85908
383	Cell Cycle	-0.0868	0.7904	6	8067	66130
384	Hydrological Processes	0.6375	-0.0357	3	8066	60515
385	Applied Economics	-0.4624	-0.6577	1	8060	31074
386	ChemPhysChem	1.4245	0.2615	4	8054	47420
387	European Journal of Clinical Pharmacology	-0.2914	0.4413	2	8054	40833
388	Journal of Low Temperature Physics	1.897	-0.2389	7	8046	29686
389	Clinical Cardiology	-0.3561	0.4898	2	8028	11078
390	Applied Physics B	1.475	-0.0622	4	8016	35273
391	BMJ Open	-0.5058	0.0235	2	8011	19717
392	Emergency Medicine Journal	-0.425	0.3319	2	7998	16358
393	Journal of Analytical Atomic Spectrometry	0.9057	0.2863	4	7964	41104
394	Neurochemical Research	-0.1598	0.5653	2	7951	34631
395	PROTEOMICS	0.1587	0.7162	6	7950	67136
396	Journal of Zoology	0.5306	0.2681	3	7928	40211
398	Journal of Computational Chemistry	1.2758	0.3648	4	7883	115685
400	Journal of Business Ethics	-0.5301	-0.6794	1	7873	90620
402	Archives of Gynecology and Obstetrics	-0.3601	0.4683	2	7855	15565
403	Journal of Chemical Technology & Biotechnology	0.8557	0.2699	3	7827	26767
405	Journal of Ultrasound in Medicine	-0.3824	0.5148	2	7823	14024
406	The Annals of the American Academy of Political and Social Science	-0.5706	-0.5407	1	7811	21130
407	BMC Cancer	-0.2685	0.6851	2	7796	52241
408	The Journal of Dermatology	-0.2796	0.6034	2	7792	17728
409	Drugs	-0.2984	0.4873	2	7784	47147
410	Journal of Separation Science	0.8398	0.3708	4	7783	31948
411	ZAMM ? Journal of Applied Mathematics and Mechanics / Zeitschrift für Angewandte Mathematik und Mechanik	0.7825	-0.4445	5	7780	4907
412	Small	1.4423	0.1765	4	7777	94727
414	Oikos	0.5711	0.2719	3	7771	113711
415	Euphytica	0.579	0.4003	3	7738	38022
416	Catalysis Letters	1.2865	0.2347	4	7732	31846
417	Annals of Otology Rhinology & Laryngology	-0.4751	0.483	2	7724	44028
418	Philosophical Transactions of The Royal Society A Mathematical Physical and Engineering Sciences	0.7941	-0.235	5	7724	55696
419	Limnology and Oceanography	0.6008	0.2141	3	7722	93380
420	Pure and Applied Chemistry	1.2191	0.2629	4	7702	45401
421	Journal of Paediatrics and Child Health	-0.4225	0.3232	2	7694	16098
422	The Journal of Antibiotics	0.6018	0.5291	4	7676	41338
423	American Journal of Medical Genetics Part A	-0.3112	0.5328	2	7664	35773
424	Journal of Applied Spectroscopy	1.196	0.2131	4	7620	1916
425	Solar Physics	1.2626	-0.5339	7	7614	29948
426	The Canadian Journal of Psychiatry	-0.6428	-0.2731	1	7582	16657
427	Berichte der Bunsengesellschaft für physikalische Chemie	1.2918	0.1974	4	7577	22108
429	Separation Science and Technology	1.0949	0.1745	4	7536	24312
430	Polymer Bulletin	1.2049	0.13	4	7531	21361
431	The Anatomical Record	-0.1034	0.5374	2	7529	33139
433	Parasitology Research	0.3724	0.4258	3	7516	37010
434	Journal of Aircraft	0.8343	-0.452	5	7512	44463
435	Communications in Soil Science and Plant Analysis	0.6044	0.3483	3	7505	23791
436	Colloid & Polymer Science	1.2014	0.1378	4	7491	27299
437	Genes & Development	0.0527	0.7899	6	7486	296456
438	Frontiers in Human Neuroscience	-0.6258	-0.1036	1	7460	21457
439	International Journal of Control	0.6536	-0.517	5	7413	27455
440	The Journal of Economic History	-0.497	-0.6268	1	7378	7369
441	Occupational and Environmental Medicine	-0.1797	0.2444	2	7372	33006
442	Australian and New Zealand Journal of Psychiatry	-0.6401	-0.2761	1	7361	36294
443	Technometrics	0.1441	-0.544	5	7342	21110
444	Pediatric Pulmonology	-0.3574	0.4315	2	7335	23399
445	PLoS Genetics	0.154	0.7562	6	7327	116189
