id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Publications>
1451	Massey Univ	-0.18	0.1969	11	343	527.9989	1064
1452	Univ Malaya	-0.1916	0.6151	5	522	1364.0026	3401
1458	Pontificia Univ Católica Chile	0.5164	-0.6055	4	475	997.998	1767
1459	Univ Fed São Paulo	0.7587	-0.8467	4	366	1122.9997	2215
1460	Fed Univ Santa Catarina - UFSC	0.6881	-0.746	4	338	606.9989	1348
1461	Univ Estadual Paulista	0.8026	-0.7989	4	429	1776.0002	3809
1462	Univ Cent Florida	-0.3938	-0.1269	1	390	679.998	1411
1463	Drexel Univ	-0.0671	-0.8783	1	404	914.9983	1812
1464	Univ Albany	-0.0054	-0.5146	1	423	564.9983	1054
1465	Georgia State Univ	-0.5884	-0.4981	1	384	734.9991	1278
1466	Utah State Univ	-0.2229	-0.4003	1	348	512.9994	1020
1467	San Diego State Univ	0.0975	-0.6525	1	311	621.9994	958
1468	Univ Toledo	-0.4094	-0.6252	1	276	371.9976	909
1469	Rush Univ	-0.2637	-1.126	1	325	847.0006	1401
1470	Univ Mississippi	-0.3951	-0.5619	1	465	860.0004	1596
1471	Univ Wisconsin - Milwaukee	-0.4622	-0.5612	1	399	641.9995	1152
1473	Mississippi State Univ	-0.414	-0.3297	1	280	462.9997	1004
1474	George Mason Univ	-0.1581	-0.6765	1	396	577.9983	1254
1475	Univ Belgrade	0.6317	0.1268	3	540	899.9973	3600
1477	Univ Eastern Finland	0.5246	0.5808	12	403	840.9998	1359
1479	Univ Fed Paraná	0.684	-0.7898	4	264	643.9985	1428
1481	Fed Univ Pernambuco - UFPE	0.7321	-0.6951	4	216	441.0013	1129
1483	Univ Brasília - UnB	0.6928	-0.6596	4	286	529.9975	1135
1484	Univ Fed Ceará	0.7748	-0.669	4	179	425.9995	944
1485	Fed Univ São Carloss - UFSCar	0.8239	-0.7518	4	180	635.999	1050
1502	Univ KwaZulu-Natal	0.2594	-0.1397	6	430	866.9994	1886
1515	Tehran Univ Med Sci	0.0225	0.8657	5	328	994.9986	2342
1516	Univ Tehran	0.0217	0.7762	5	305	1223.9987	2674
1517	Sharif Univ Technol	-0.0051	0.7267	5	273	593.9995	1414
1518	Shiraz Univ	0.0285	0.7074	5	215	255.0024	891
1519	Tarbiat Modares Univ	0.0188	0.8215	5	170	600.9996	1461
1520	Amirkabir Univ Technol	-0.0223	0.7599	5	170	536.9996	1636
1522	Isfahan Univ Technol	-0.0159	0.6779	5	236	421.9993	1199
1523	Iran Univ Sci & Technol	-0.0468	0.7394	5	128	364.9994	1139
1524	Univ Tabriz	-0.0522	0.7797	5	110	253.9995	862
1525	Shahid Beheshti Univ Med Sci	-0.0041	0.8663	5	195	562.9973	1190
1526	Univ Québec Montréal	-0.0129	-0.0887	13	307	537.001	912
1528	Ain Shams Univ	-0.2081	0.3921	5	293	381.0002	1091
1529	Cairo Univ	-0.179	0.3851	5	436	719.9971	1860
1530	Gunma Univ	-0.811	0.6863	7	142	328.0001	818
1532	Univ Canterbury	-0.0882	0.2372	11	446	596.0003	930
1533	Cent S Univ	-0.8378	-0.3212	2	338	1202.9988	3847
1534	S E Univ	-0.9658	0.0387	2	378	1392.9979	3196
1535	E China Normal Univ	-0.7826	0.1019	2	337	742.9989	1591
1536	S China Univ Technol	-0.8318	-0.133	2	287	1041.9995	2853
1537	Hunan Univ	-0.7804	-0.1367	2	208	549.9998	1770
1538	Univ Sci & Technol Beijing	-0.5521	0.0075	2	222	677.9982	1907
1539	E Carolina Univ	-0.5285	-0.6545	1	269	466.9997	899
1540	Florida Intl Univ	-0.2195	-0.5178	1	406	746.9985	1342
1542	Ehime Univ	-0.8336	0.5576	7	243	390.0018	709
1543	Kinki Univ	-0.8918	0.6238	7	276	473.0026	923
1544	Kitasato Univ	-0.8682	0.6988	7	151	410.9996	841
1545	Shinsu Univ	-0.658	0.6426	7	338	477.9989	980
1547	Tokyo Univ Agr & Technol	-0.7555	0.5802	7	223	380.0014	828
1550	Yamaguchi Univ	-0.879	0.5722	7	148	311.9998	685
1552	Univ Texas - Hlth Sci Ctr San Antonio	-0.2668	-0.7488	1	372	936.9991	1575
1553	Univ Texas - Southwestern Med Ctr	-0.4208	-0.8555	1	444	1809.9986	3117
1555	Univ Texas - Arlington	-0.196	-0.1721	1	396	567.9971	1039
1577	James Cook Univ	-0.2956	0.2022	11	328	715.0006	1265
2335	Korea Univ	-0.3692	1.0181	10	504	2386.9983	4241
2340	Seoul Natl Univ	-0.516	1.0048	10	605	4276.9998	8095
2347	Yonsei Univ	-0.4332	1.0434	10	533	2361.9995	5114
2354	Kyungpook Natl Univ	-0.4141	0.8359	10	421	1060.0003	2136
2357	Chonnam Natl Univ	-0.4587	0.841	10	401	1007.0016	1911
2361	Sungkyunkwan Univ	-0.4135	0.9381	10	523	2306.9998	4188
2369	Inha Univ	-0.5085	0.9598	10	261	680.0008	1398
2371	Chungnam Natl Univ	-0.4476	0.8919	10	203	693.9988	1405
2373	Kyung Hee Univ	-0.4153	0.9884	10	390	1400.9991	2621
2380	Ewha Womans Univ	-0.3964	1.0791	10	360	896.9999	1391
2383	Hanyang Univ	-0.334	0.9154	10	437	1360.0011	2861
2389	Univ Ulsan	-0.5387	1.0618	10	318	1311.9997	2434
2393	Ajou Univ	-0.4684	1.1003	10	212	650.0005	1171
2395	Chonbuk Natl Univ	-0.4815	0.8045	10	343	850.999	1707
2397	Cath Univ Korea	-0.4887	1.0545	10	259	976	2157
2404	Konkuk Univ	-0.5634	0.9645	10	313	900.0017	1710
2406	Korea Adv Inst Sci & Technol	-0.3475	0.8574	10	295	1080.9989	2553
2407	Pohang Univ Sci & Technol	-0.4268	0.7786	10	262	796.9984	1547
2408	Pusan Natl Univ	-0.5598	0.8583	10	370	1143.0001	2375
2415	Natl Cent Univ	-1.1332	0.2686	14	380	684.0003	1282
2416	Natl Chiao Tung Univ	-1.1846	0.1932	14	220	699.999	1703
2417	Natl Tsing Hua Univ	-1.154	0.2167	14	348	874.9988	1833
2418	Natl Cheng Kung Univ	-1.2368	0.1728	14	320	1127.9992	2783
2420	Natl Taiwan Univ	-1.2117	0.3022	14	562	2479.9988	5102
2422	Natl Yang Ming Univ	-1.3333	0.2579	14	271	1054.9995	1941
2425	Chang Gung Univ	-1.2832	0.2551	14	227	980.9994	2111
2428	Natl Sun-Yat Sen Univ	-1.2592	0.2083	14	150	687.9997	1164
2430	Natl Chung Hsing Univ	-1.313	0.1715	14	146	563.9993	1213
2431	Kaohsiung Med Univ	-1.2909	0.2129	14	203	832.9994	1412
2434	Natl Taiwan Univ Sci &  Technol	-1.1836	0.2649	14	148	373.9992	1064
2435	Indian Inst Sci	-0.0076	0.3795	5	265	423.0001	1750
2436	Indian Inst Technol Bombay	-0.0346	0.3475	5	255	323.9991	1126
2441	Indian Inst Technol Kharagpur	0.0214	0.4231	5	156	276	1310
2443	All India Inst Med Sci - New Delhi	0.0268	0.5046	5	235	185.9976	1128
2445	Indian Inst Technol Madras	-0.064	0.3768	5	247	252.0025	1035
2446	Indian Inst Technol Delhi	0.0084	0.4572	5	152	248.9994	1100
2448	Banaras Hindu Univ	-0.0199	0.5068	5	186	213.0001	1195
2451	Indian Inst Technol Kanpur	-0.0131	0.4193	5	158	247.0001	790
2452	Univ Delhi	0.0315	0.4782	5	306	396.9977	1301
2454	Jadavpur Univ	0.0641	0.433	5	111	200.9992	884
2458	Panjab Univ	0.023	0.3283	5	294	227	715
2460	Aligarh Muslim Univ	-0.074	0.5025	5	110	203.0008	583
2461	Univ Calcutta	0.0808	0.4345	5	100	164.9998	743
2462	Anna Univ	-0.09	0.3743	5	64	129.9998	871
2463	Univ Hyderabad	0.0451	0.3869	5	95	108.9998	532
2466	Indian Inst Technol Roorkee	-0.0249	0.4631	5	136	157.9991	865
2499	Indian Inst Technol Guwahati	-0.0498	0.4223	5	191	148.0019	652
2525	Mahidol Univ	-0.4894	0.5584	7	403	782.9983	1567
2529	Chiang Mai Univ	-0.5314	0.5483	7	202	322.0005	798
2531	Chulalongkorn Univ	-0.4882	0.5135	7	363	618.9972	1481
2546	Univ Paris-Est Créteil Val de Marne	0.4844	-0.3874	9	350	697.0003	1271
2552	Pierre & Marie Curie Univ - UPMC	0.5369	-0.4352	9	641	4815.9998	6979
2560	Paris Descartes Univ	0.5519	-0.3834	9	485	2222.9998	3508
2570	Univ Paris Diderot	0.487	-0.4563	9	595	3128.0008	4328
2588	Paris-Sud Univ	0.5537	-0.2414	9	621	2920.001	4425
2596	Univ Nantes	0.4544	-0.2714	9	423	695.9997	1292
2606	Univ Burgundy	0.3339	-0.2364	9	297	500.9996	1040
2608	Univ Joseph Fourier	0.4169	-0.387	9	566	1941.9994	2698
2612	Grenoble INP	0.4188	-0.4201	9	290	635.9986	724
2613	Lille 1 Univ Sci & Technol	0.4087	-0.2811	9	357	587.9998	1165
2621	Univ Poitiers	0.3181	-0.2946	9	199	314.9995	739
2625	Univ Rennes 1	0.4247	-0.2276	9	400	770.9978	1522
2634	Univ Strasbourg	0.4512	-0.1713	9	543	1466.9989	2546
2638	Univ Paul Sabatier	0.5057	-0.2746	9	564	1675.0004	3161
2641	Aix-Marseille Univ	0.4932	-0.3292	9	556	2344.9985	4398
2651	Univ Franche-Comté	0.3675	-0.2553	9	291	431	892
2662	Claude Bernard Lyon 1 Univ	0.3733	-0.3232	9	581	1947.9992	3746
